   j      e(j)         levid         stwt


  2.3802E-17 1.9403E-17 1.5613E-17 1.2399E-17 9.7254E-18 7.5555E-18 5.8488E-18
  4.5622E-18 3.6502E-18 3.0657E-18 2.7612E-18 2.6903E-18 2.8157E-18 3.2458E-18
  5.4085E-18 1.6588E-17 5.6632E-17 1.5486E-16 3.2860E-16 5.6071E-16 8.0124E-16
  9.9311E-16 1.0987E-15 1.1101E-15 1.0435E-15 9.2595E-16 7.8469E-16 6.4119E-16
  5.0892E-16 3.9460E-16 3.0038E-16 2.2533E-16 1.6711E-16 1.2281E-16 8.9563E-17
  6.4962E-17 4.6908E-17 3.3602E-17 2.4090E-17 1.7232E-17 1.2292E-17 8.7631E-18
  6.2403E-18 4.4400E-18 3.1571E-18 2.2438E-18 1.5943E-18 1.1326E-18 8.0453E-19
  5.7155E-19 4.0612E-19 2.8868E-19 2.0530E-19 1.4610E-19 1.0406E-19 7.4203E-20
  5.2988E-20 3.7907E-20 2.7178E-20 1.9540E-20 1.4097E-20 1.0211E-20 7.4332E-21
 50100701.0310 -2.1259E-01  2.9866E-13  2.6612E-13  2.3712E-13  2.1126E-13
  1.8821E-13 1.6765E-13 1.4932E-13 1.3297E-13 1.1838E-13 1.0536E-13 9.3747E-14
  8.3375E-14 7.4110E-14 6.5830E-14 5.8426E-14 5.1801E-14 4.5867E-14 4.0548E-14
  3.5775E-14 3.1488E-14 2.7635E-14 2.4169E-14 2.1051E-14 1.8248E-14 1.5734E-14
  1.3486E-14 1.1489E-14 9.7306E-15 8.2023E-15 6.8985E-15 5.8153E-15 4.9580E-15
  4.3719E-15 4.1943E-15 4.6429E-15 5.8655E-15 7.7614E-15 9.9587E-15 1.1973E-14
  1.3407E-14 1.4065E-14 1.3824E-14 1.3038E-14 1.1834E-14 1.0274E-14 8.7873E-15
  7.3689E-15 5.9791E-15 4.7891E-15 3.7948E-15 3.0156E-15 2.3829E-15 1.8444E-15
