   j      e(j)         levid         stwt


  5.3822E-16 5.0759E-16 4.8438E-16 4.6807E-16 4.5824E-16 4.5613E-16 4.6740E-16
  5.0309E-16 5.7515E-16 6.8717E-16 8.2668E-16 9.6709E-16 1.0793E-15 1.1439E-15
  1.1561E-15 1.1227E-15 1.0283E-15 9.3222E-16 8.2733E-16 6.9635E-16 5.9421E-16
  4.8418E-16 3.9074E-16 3.2095E-16 2.5435E-16 2.0619E-16 1.6150E-16 1.3003E-16
  1.0475E-16 5.5912E-17 4.3436E-17 3.3716E-17 2.3893E-17 1.8299E-17 1.4018E-17
  1.0748E-17 8.2527E-18 6.3517E-18 4.9052E-18 3.8065E-18 2.9700E-18 2.3317E-18
  1.8437E-18 1.4692E-18 1.1805E-18 9.5671E-19 7.8231E-19 6.4522E-19 5.3691E-19
  4.5050E-19 3.8092E-19 3.2441E-19 2.7811E-19 2.3978E-19 2.0781E-19 1.8090E-19
 10000501.0410 -8.1606E-02  1.3552E-15  1.2085E-15  1.0778E-15  9.6137E-16
  8.5773E-16 7.6546E-16 6.8336E-16 6.1033E-16 5.4539E-16 4.8770E-16 4.3648E-16
  3.9106E-16 3.5084E-16 3.1529E-16 2.8393E-16 2.5637E-16 2.3224E-16 2.1124E-16
  1.9309E-16 1.7757E-16 1.6449E-16 1.5370E-16 1.4507E-16 1.3853E-16 1.3403E-16
  1.3156E-16 1.3113E-16 1.3276E-16 1.3630E-16 1.4158E-16 1.4920E-16 1.6254E-16
  1.8984E-16 2.4256E-16 3.2802E-16 4.4092E-16 5.6194E-16 6.6594E-16 7.3327E-16
  7.5624E-16 7.3843E-16 6.8186E-16 6.1205E-16 5.3413E-16 4.4848E-16 3.7460E-16
  3.0347E-16 2.4293E-16 1.9496E-16 1.5307E-16 1.2106E-16 9.3830E-17 7.3553E-17
  5.7584E-17 3.6665E-17 2.7980E-17 2.1311E-17 1.5543E-17 1.1727E-17 8.8381E-18
  6.6537E-18 5.0130E-18 3.7783E-18 2.8513E-18 2.1557E-18 1.6351E-18 1.2446E-18
  9.5155E-19 7.3155E-19 5.6593E-19 4.4104E-19 3.4645E-19 2.7455E-19 2.1954E-19
